seqn,household_income,gender,age,education_level,household_size
81654,"55,000 to 64,999",Male,67,Some College or AA degree,2
81655,"55,000 to 64,999",Male,80,College Graduate or above,4
81659," 5,000 to  9,999",Female,38,Some College or AA degree,5
81660,"20,000 to 24,999",Male,80,Some College or AA degree,1
81661,"35,000 to 44,999",Female,51,Some College or AA degree,3
81662,"25,000 to 34,999",Female,33,Some College or AA degree,5
81664,"55,000 to 64,999",Female,51,College Graduate or above,2
81665,"100,000 and Over",Male,36,College Graduate or above,4
81666,,Female,37,Some College or AA degree,4
81667,"45,000 to 54,999",Female,19,Some College or AA degree,6
81668,"15,000 to 19,999",Male,21,Some College or AA degree,3
81669,"25,000 to 34,999",Female,39,Some College or AA degree,2
81671,"35,000 to 44,999",Male,65,9th-11th Grade,3
81672,"10,000 to 14,999",Female,33,College Graduate or above,4
81674,"20,000 to 24,999",Female,74,College Graduate or above,1
81675,"35,000 to 44,999",Female,74,Some College or AA degree,1
81677,"75,000 to 99,999",Male,60,Some College or AA degree,4
81679,"100,000 and Over",Male,36,College Graduate or above,5
81680,"65,000 to 74,999",Female,18,College Graduate or above,5
81681,"75,000 to 99,999",Female,42,,4
81683,"20,000 to 24,999",Female,20,Some College or AA degree,2
81686,"65,000 to 74,999",Female,55,Some College or AA degree,3
81689,"20,000 to 24,999",Female,18,College Graduate or above,2
81694,"25,000 to 34,999",Female,80,9th-11th Grade,2
81695,"35,000 to 44,999",Female,36,College Graduate or above,2
81697,"55,000 to 64,999",Female,25,College Graduate or above,2
81698,"55,000 to 64,999",Male,31,Some College or AA degree,5
81699,"55,000 to 64,999",Female,19,Some College or AA degree,2
81700,"75,000 to 99,999",Female,30,Some College or AA degree,5
81701,"25,000 to 34,999",Male,52,<9th Grade,3
81703,"20,000 to 24,999",Male,63,High School Grad/GED or equivalent,2
81704,"100,000 and Over",Male,45,College Graduate or above,6
81706,"75,000 to 99,999",Male,45,Some College or AA degree,4
81707,"55,000 to 64,999",Male,26,College Graduate or above,3
81708,,Female,38,College Graduate or above,3
81709,"35,000 to 44,999",Male,80,College Graduate or above,1
81711,"25,000 to 34,999",Female,32,High School Grad/GED or equivalent,7
81712,"55,000 to 64,999",Male,66,College Graduate or above,2
81714,"100,000 and Over",Female,58,Some College or AA degree,2
81715,Refused,Female,42,9th-11th Grade,5
81717,"75,000 to 99,999",Male,35,College Graduate or above,5
81719,"35,000 to 44,999",Male,43,College Graduate or above,2
81721,"75,000 to 99,999",Female,39,High School Grad/GED or equivalent,5
81722,"100,000 and Over",Female,47,College Graduate or above,4
81725,"100,000 and Over",Female,40,College Graduate or above,3
81726,"55,000 to 64,999",Female,80,High School Grad/GED or equivalent,3
81729,"25,000 to 34,999",Male,32,College Graduate or above,1
81733,"20,000 to 24,999",Female,73,High School Grad/GED or equivalent,2
81736,"75,000 to 99,999",Female,76,Some College or AA degree,2
81737,"55,000 to 64,999",Male,70,9th-11th Grade,2
81740,"20,000 to 24,999",Male,21,,3
81741,"15,000 to 19,999",Male,43,High School Grad/GED or equivalent,2
81742,"100,000 and Over",Male,63,College Graduate or above,3
81743,"20,000 to 24,999",Male,80,9th-11th Grade,1
81748,"25,000 to 34,999",Male,22,Some College or AA degree,3
81750,"20,000 to 24,999",Female,22,High School Grad/GED or equivalent,4
81752,"100,000 and Over",Male,41,College Graduate or above,5
81753,"25,000 to 34,999",Male,28,Some College or AA degree,5
81755,"100,000 and Over",Male,56,College Graduate or above,3
81760,"20,000 to 24,999",Female,36,<9th Grade,7
81762,,Female,22,<9th Grade,4
81763,"25,000 to 34,999",Female,61,9th-11th Grade,4
81764,Refused,Male,74,9th-11th Grade,2
81766,"75,000 to 99,999",Male,32,College Graduate or above,2
81767,"55,000 to 64,999",Female,57,College Graduate or above,1
81768,"35,000 to 44,999",Female,48,9th-11th Grade,3
81770,Refused,Male,50,9th-11th Grade,4
81771,"20,000 and Over",Male,18,College Graduate or above,5
81772,"25,000 to 34,999",Male,49,Some College or AA degree,3
81773,"45,000 to 54,999",Male,20,,3
81776," 5,000 to  9,999",Female,22,High School Grad/GED or equivalent,3
81777,"65,000 to 74,999",Female,63,College Graduate or above,1
81778,"20,000 to 24,999",Male,18,High School Grad/GED or equivalent,4
81779," 5,000 to  9,999",Female,63,9th-11th Grade,2
81780,"35,000 to 44,999",Male,22,Some College or AA degree,6
81781,"20,000 to 24,999",Male,50,High School Grad/GED or equivalent,5
81783,"100,000 and Over",Male,44,College Graduate or above,3
81784,"25,000 to 34,999",Female,53,,4
81785,"10,000 to 14,999",Female,70,<9th Grade,3
81787,"35,000 to 44,999",Male,34,9th-11th Grade,7
81789,"10,000 to 14,999",Male,39,High School Grad/GED or equivalent,2
81792,"15,000 to 19,999",Male,49,9th-11th Grade,2
81794,"100,000 and Over",Female,80,College Graduate or above,2
81795,"65,000 to 74,999",Male,50,<9th Grade,3
81797,"35,000 to 44,999",Female,74,High School Grad/GED or equivalent,4
81798,"20,000 to 24,999",Male,71,College Graduate or above,1
81801,"100,000 and Over",Male,53,9th-11th Grade,7
81802,"100,000 and Over",Male,30,College Graduate or above,2
81803,,Male,18,High School Grad/GED or equivalent,3
81805,"20,000 to 24,999",Female,21,High School Grad/GED or equivalent,6
81806,"65,000 to 74,999",Female,32,Some College or AA degree,4
81808,"75,000 to 99,999",Female,18,Some College or AA degree,5
81809,"100,000 and Over",Male,40,College Graduate or above,4
81812,"55,000 to 64,999",Female,64,Some College or AA degree,2
81813,"55,000 to 64,999",Female,63,<9th Grade,3
81814,"100,000 and Over",Male,67,College Graduate or above,2
81815,"10,000 to 14,999",Male,75,<9th Grade,2
81816,"10,000 to 14,999",Female,51,Some College or AA degree,1
81818,"Under 20,000",Male,75,High School Grad/GED or equivalent,4
81819,"15,000 to 19,999",Male,34,High School Grad/GED or equivalent,4
81820,"35,000 to 44,999",Male,65,High School Grad/GED or equivalent,3
81822,"55,000 to 64,999",Female,51,College Graduate or above,4
81823,"10,000 to 14,999",Male,64,High School Grad/GED or equivalent,1
81824,"25,000 to 34,999",Male,78,High School Grad/GED or equivalent,2
81825,"20,000 to 24,999",Female,44,Some College or AA degree,2
81826,"35,000 to 44,999",Female,69,Some College or AA degree,1
81827,"100,000 and Over",Female,73,College Graduate or above,2
81828,"75,000 to 99,999",Female,45,High School Grad/GED or equivalent,4
81829,"35,000 to 44,999",Female,43,Some College or AA degree,3
81830,"20,000 to 24,999",Male,39,Some College or AA degree,1
81831,"35,000 to 44,999",Female,72,College Graduate or above,3
81832,"20,000 and Over",Male,80,Some College or AA degree,2
81833,"100,000 and Over",Male,72,College Graduate or above,2
81834,"45,000 to 54,999",Male,33,College Graduate or above,4
81835,"20,000 and Over",Female,47,Some College or AA degree,2
81836,"75,000 to 99,999",Female,36,Some College or AA degree,6
81837,"15,000 to 19,999",Female,34,High School Grad/GED or equivalent,2
81842,"35,000 to 44,999",Female,73,College Graduate or above,3
81843,"100,000 and Over",Male,19,Some College or AA degree,6
81844,"65,000 to 74,999",Male,25,,3
81845,"20,000 to 24,999",Male,75,High School Grad/GED or equivalent,2
81846," 5,000 to  9,999",Female,19,High School Grad/GED or equivalent,3
81847,"35,000 to 44,999",Female,38,Some College or AA degree,4
81848,"100,000 and Over",Female,22,,6
81849,"20,000 to 24,999",Female,44,High School Grad/GED or equivalent,5
81850,"75,000 to 99,999",Male,67,High School Grad/GED or equivalent,4
81851,"20,000 to 24,999",Male,73,<9th Grade,2
81854," 5,000 to  9,999",Male,38,9th-11th Grade,4
81855,"15,000 to 19,999",Female,27,Some College or AA degree,3
81858,"25,000 to 34,999",Female,22,Some College or AA degree,3
81860,"100,000 and Over",Male,21,Some College or AA degree,4
81862," 5,000 to  9,999",Female,20,Some College or AA degree,1
81863,"20,000 to 24,999",Male,56,9th-11th Grade,2
81865,"75,000 to 99,999",Male,42,Some College or AA degree,3
81866,"10,000 to 14,999",Female,53,Some College or AA degree,1
81867,"35,000 to 44,999",Male,57,Some College or AA degree,2
81870,"100,000 and Over",Female,37,,3
81871,"35,000 to 44,999",Female,80,College Graduate or above,1
81872,"25,000 to 34,999",Male,80,College Graduate or above,1
81873,"100,000 and Over",Male,62,College Graduate or above,1
81875,"15,000 to 19,999",Female,70,<9th Grade,2
81877,"100,000 and Over",Female,44,College Graduate or above,5
81879,"35,000 to 44,999",Male,73,9th-11th Grade,2
81882,,Female,36,<9th Grade,3
81883,"35,000 to 44,999",Male,19,Some College or AA degree,7
81885,Refused,Female,30,Some College or AA degree,2
81886,"100,000 and Over",Male,47,Some College or AA degree,4
81887,"10,000 to 14,999",Male,80,<9th Grade,1
81889," 5,000 to  9,999",Female,20,9th-11th Grade,4
81890,"10,000 to 14,999",Female,67,Some College or AA degree,7
81891,"100,000 and Over",Female,28,College Graduate or above,3
81893,"45,000 to 54,999",Male,30,High School Grad/GED or equivalent,3
81894,"25,000 to 34,999",Female,32,High School Grad/GED or equivalent,5
81895,"35,000 to 44,999",Female,64,High School Grad/GED or equivalent,3
81896,"20,000 to 24,999",Female,80,High School Grad/GED or equivalent,2
81898,"25,000 to 34,999",Female,29,Some College or AA degree,4
81899,"45,000 to 54,999",Male,55,9th-11th Grade,5
81900,"10,000 to 14,999",Female,54,9th-11th Grade,1
81903,"75,000 to 99,999",Male,30,College Graduate or above,2
81904,"65,000 to 74,999",Female,47,College Graduate or above,6
81909,"25,000 to 34,999",Female,18,High School Grad/GED or equivalent,4
81910,"55,000 to 64,999",Male,30,Some College or AA degree,4
81913,,Female,18,High School Grad/GED or equivalent,3
81918," 5,000 to  9,999",Female,19,Some College or AA degree,1
81919,"25,000 to 34,999",Female,45,Some College or AA degree,3
81920,"100,000 and Over",Male,50,Some College or AA degree,4
81923,"35,000 to 44,999",Male,35,High School Grad/GED or equivalent,5
81925,"45,000 to 54,999",Male,23,9th-11th Grade,5
81930,"25,000 to 34,999",Male,18,Some College or AA degree,6
81932,"45,000 to 54,999",Female,24,High School Grad/GED or equivalent,3
81933," 5,000 to  9,999",Female,80,<9th Grade,1
81934,"55,000 to 64,999",Female,61,Some College or AA degree,2
81935," 5,000 to  9,999",Female,47,9th-11th Grade,2
81938,"75,000 to 99,999",Female,34,College Graduate or above,3
81940,Don't know,Female,24,9th-11th Grade,7
81942,"25,000 to 34,999",Male,22,High School Grad/GED or equivalent,4
81944,"55,000 to 64,999",Female,32,College Graduate or above,2
81945,"75,000 to 99,999",Female,53,Some College or AA degree,5
81946,Refused,Female,30,Some College or AA degree,6
81949,"75,000 to 99,999",Male,47,Some College or AA degree,5
81950,"55,000 to 64,999",Male,52,Some College or AA degree,2
81952,"65,000 to 74,999",Male,56,College Graduate or above,3
81953,"35,000 to 44,999",Female,22,Some College or AA degree,3
81954,"75,000 to 99,999",Male,23,High School Grad/GED or equivalent,2
81955,"55,000 to 64,999",Male,26,College Graduate or above,3
81956,"75,000 to 99,999",Female,35,Some College or AA degree,6
81957,"65,000 to 74,999",Male,49,High School Grad/GED or equivalent,3
81959,"100,000 and Over",Male,77,College Graduate or above,3
81962,"20,000 to 24,999",Female,38,<9th Grade,7
81965,"20,000 to 24,999",Male,42,Some College or AA degree,4
81966,"75,000 to 99,999",Female,31,College Graduate or above,5
81967,,Female,30,Some College or AA degree,1
81968," 5,000 to  9,999",Female,26,9th-11th Grade,5
81969,"35,000 to 44,999",Male,58,High School Grad/GED or equivalent,3
81970,"15,000 to 19,999",Female,53,Some College or AA degree,5
81971,"45,000 to 54,999",Male,30,High School Grad/GED or equivalent,2
81974,"100,000 and Over",Male,41,College Graduate or above,4
81975,"25,000 to 34,999",Female,48,Some College or AA degree,1
81978,"45,000 to 54,999",Female,63,Some College or AA degree,2
81979,"100,000 and Over",Male,53,High School Grad/GED or equivalent,2
81980,"100,000 and Over",Male,38,College Graduate or above,2
81982,"20,000 to 24,999",Female,55,<9th Grade,4
81983,"100,000 and Over",Female,72,High School Grad/GED or equivalent,3
81985,"100,000 and Over",Male,21,High School Grad/GED or equivalent,5
81987,"35,000 to 44,999",Female,80,<9th Grade,6
81988,"10,000 to 14,999",Male,65,9th-11th Grade,1
81989,"10,000 to 14,999",Female,46,Some College or AA degree,2
81992,"75,000 to 99,999",Female,51,College Graduate or above,4
81993,"100,000 and Over",Male,43,College Graduate or above,4
81994,"55,000 to 64,999",Male,80,Some College or AA degree,2
81995,Don't know,Male,74,Some College or AA degree,2
81996,Refused,Male,48,Some College or AA degree,5
81997,"20,000 to 24,999",Male,80,Some College or AA degree,4
81998,,Female,56,9th-11th Grade,2
82001,"55,000 to 64,999",Male,50,<9th Grade,4
82002,"100,000 and Over",Female,28,College Graduate or above,4
82003,"100,000 and Over",Female,22,Some College or AA degree,2
82005,"25,000 to 34,999",Male,68,College Graduate or above,2
82006,"45,000 to 54,999",Male,46,Some College or AA degree,3
82007,"20,000 to 24,999",Female,55,9th-11th Grade,2
82010,"100,000 and Over",Female,36,College Graduate or above,4
82011,"75,000 to 99,999",Male,31,Some College or AA degree,6
82012,"45,000 to 54,999",Female,71,High School Grad/GED or equivalent,2
82015,"45,000 to 54,999",Female,70,9th-11th Grade,7
82017,"25,000 to 34,999",Female,18,High School Grad/GED or equivalent,6
82019,"75,000 to 99,999",Male,62,College Graduate or above,2
82020,"75,000 to 99,999",Male,41,High School Grad/GED or equivalent,4
82021,"75,000 to 99,999",Female,53,College Graduate or above,2
82023,"35,000 to 44,999",Female,41,Some College or AA degree,7
82025,"75,000 to 99,999",Female,78,College Graduate or above,2
82026,"45,000 to 54,999",Male,68,High School Grad/GED or equivalent,3
82027,"25,000 to 34,999",Male,80,High School Grad/GED or equivalent,1
82028,"45,000 to 54,999",Female,46,Some College or AA degree,4
82031,"20,000 to 24,999",Female,80,High School Grad/GED or equivalent,2
82037,"25,000 to 34,999",Female,43,9th-11th Grade,6
82039,"20,000 to 24,999",Female,25,College Graduate or above,2
82041,"35,000 to 44,999",Female,66,9th-11th Grade,7
82043,"65,000 to 74,999",Female,57,College Graduate or above,2
82046,"75,000 to 99,999",Male,80,High School Grad/GED or equivalent,2
82047,"20,000 to 24,999",Male,64,High School Grad/GED or equivalent,2
82050,Refused,Female,19,Some College or AA degree,4
82051,"100,000 and Over",Female,42,Some College or AA degree,4
82052,"20,000 and Over",Female,60,High School Grad/GED or equivalent,2
82053,"100,000 and Over",Female,43,Some College or AA degree,3
82055,Refused,Male,77,Some College or AA degree,3
82056,"25,000 to 34,999",Male,76,Some College or AA degree,3
82057,"25,000 to 34,999",Female,36,Some College or AA degree,3
82058,"100,000 and Over",Male,34,Some College or AA degree,3
82059,"100,000 and Over",Female,29,Some College or AA degree,3
82060,"25,000 to 34,999",Female,25,High School Grad/GED or equivalent,2
82061,,Female,80,College Graduate or above,1
82062,"10,000 to 14,999",Female,54,Some College or AA degree,2
82067," 5,000 to  9,999",Female,56,<9th Grade,1
82068,"25,000 to 34,999",Male,44,9th-11th Grade,1
82070,"100,000 and Over",Male,18,Some College or AA degree,7
82073,"25,000 to 34,999",Male,19,High School Grad/GED or equivalent,3
82075,"55,000 to 64,999",Male,26,Some College or AA degree,2
82077,"75,000 to 99,999",Male,40,College Graduate or above,3
82079,"65,000 to 74,999",Female,29,College Graduate or above,3
82083,"100,000 and Over",Female,57,College Graduate or above,2
82085,"65,000 to 74,999",Male,54,Some College or AA degree,4
82086,"10,000 to 14,999",Male,21,9th-11th Grade,1
82087,"55,000 to 64,999",Male,47,Some College or AA degree,3
82088,"10,000 to 14,999",Female,19,Some College or AA degree,3
82089," 5,000 to  9,999",Male,25,High School Grad/GED or equivalent,1
82090,"35,000 to 44,999",Female,48,<9th Grade,4
